Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J01025+716,Ross 318,01:02:32.24,+71:40:47.3,DR3,1746.70101321819,-381.762369718754,DR3,121.459828714898,DR3,1.343,DR3,10.2547,DR3,7.7961,UCAC4,533621859441169920
J01026+623,BD+61 195,01:02:38.87,+62:20:42.2,DR3,731.087994775853,90.5317355617559,DR3,101.423795295984,DR3,-6.284,DR3,9.792,DR3,7.6166,UCAC4,522863309964987520
J01032+200,G  33-35A,01:03:14.15,+20:05:52.3,DR3,672.163275018022,50.9616857305673,DR3,62.7652136360478,DR3,21.024,DR3,11.8841,DR3,9.5538,UCAC4,2788769028896753664
J01032+316,LP 294-040,01:03:13.96,+31:40:59.8,DR3,217.8,-7.2,PPMXL,24.9,Dit14,4.1,Z21,13.9076,DR3,11.2143,UCAC4,313386725454611200
J01032+712,G 242-077,01:03:14.45,+71:13:12.7,DR3,507.026925074251,-59.7384522589729,DR3,36.3188434071163,DR3,-14.484,DR3,14.17,DR3,11.3419,PS1,533511770839315840
J01033+623,V* V388 Cas,01:03:19.84,+62:21:55.8,DR3,730.398009578876,85.9667043087498,DR3,101.37235858535,DR3,-6.52118,Lafa20,13.8995,DR3,10.5941,PS1,522864272041351296
J01036+408,G 132-050,01:03:40.14,+40:51:29.1,DR3,115.999521255474,-157.822678521368,DR3,32.8112821680505,DR3,-16.22,DR3,10.948,DR3,9.2423,UCAC4,374400957846408192
J01037+408,G 132-51A,01:03:42.05,+40:51:15.9,DR3,132.683528159406,-155.519280835221,DR3,32.5327445220102,DR3,-11.688,DR3,13.7046,DR3,11.1419,UCAC4,374400893423204992
J01041+108,StKM 1-112,01:04:11.04,+10:51:36.5,DR3,25.051142919298,-67.4648486032258,DR3,28.68076189076,DR3,5.822,DR3,12.2404,DR3,10.2028,UCAC4,2583182211591974144
J01048-181,GJ 1028,01:04:53.80,-18:07:28.6,DR3,1292.18786603233,488.10390783649,DR3,102.282746316613,DR3,12.49,DR3,14.7776,DR3,11.3576,UCAC4,2358022227591374336
J01056+284,GJ 1029,01:05:37.64,+28:29:33.6,DR3,1917.65065942953,-187.263961429791,DR3,79.9262523412784,DR3,-11.338,Bar18,15.111,DR3,11.5964,PS1,308256610357824640
J01066+152,GJ 1030,01:06:41.51,+15:16:22.1,DR3,-107.906935610536,-251.432575722844,DR3,44.9835064258291,DR3,16.37,DR3,11.6791,DR3,9.4319,UCAC4,2783324526489670144
J01066+192,LSPM J0106+1913,01:06:36.98,+19:13:33.2,DR3,-42.0666658347915,-222.790070123573,DR3,40.4515806343907,DR3,10.847,DR3,13.5294,DR3,10.9333,PS1,2785466581298775680
J01069+804,NLTT 3583,01:06:54.67,+80:27:34.4,DR3,206.66662783138,-25.2572649561069,DR3,46.9305859362798,DR3,-12.327,DR3,14.2386,DR3,11.1969,UCAC4,565706429072383232
